maker,name,price
ミニズフォーラム MINISFORUM,GK41-8/128-W10Pro（J4125） [小型デスクトップパソコン/CPU：Intel（R） Celeron（R） Processor J4125/メモリ：8GB/ストレージ：M.2 SSD 128GB/Windows 10 Pro 64bit],"￥32,970"
ASUS エイスース,G15DK-R75R3070E [ROG Strix GA15 G15DK AMD Ryzen 7 5800X プロセッサー/NVIDIA GeForce RTX 3070/メモリ 16GB/SSD 512GB/Windows 10 Home 64ビット/ブラック],"￥269,800"
ASUS エイスース,D500SC-G6405T [デスクトップパソコン ASUS ExpertCenter D5 SFF D500SC Intel Pentium Gold G6405/チップセットIntelB560/メモリ 8GB/HDD 1TB、SSD 256GB/DVDスーパーマルチドライブ/Windows 10 Home 64ビット/WPS Office Standard（3製品共通ライセンス）/ブラック],"￥79,800"
マウスコンピューター mouse computer,PCMI101P21C [スリムケースデスクトップパソコン/Corei3-10100/メモリ 8GB/SSD 512GB （NVMe）/DVDスーパーマルチドライブ/Windows10 Pro 64bit],"￥99,800"
ASUS エイスース,PB60-B5367ZD [Mini PC PB60 シリーズ Core i5-8400T/DDR4メモリ 8GB/HDD 1TB/ドライブレス/Windows 10 Home ブラック],"￥76,980"
レノボ･ジャパン Lenovo,90NB002CJP [単体デスクトップ IdeaCentre 350i/Celeron/メモリー4GB/HDD1TB/Windows 10 Home 64bit 日本語版/NonOffice/グレー],"￥58,080"
レノボ･ジャパン Lenovo,90RW002MJP [ゲーミングデスクトップパソコン IdeaCentre Gaming 560/AMD Ryzen5 5600Gプロセッサー/NVIDIA GeForce GTX 1660 SUPER/SSD 512GB/メモリ 8GB/Windows 10 Home 64bit/ブラック],"￥131,780"
ECS イーシーエス,LIVAZ-4/32 （N3350） [Celeron N3350/メモリ 4GB/eMMC 32GB/Wi-Fi 802.11ac OS非搭載モデル],"￥21,910"
HP,1V7J0AA-AAAB [HP 27-dp0000 All-in-One G1モデル Core i5/メモリ8GB/SSD512GB＋HDD2TB/Office Home＆Business 2019],"￥165,000"
レノボ･ジャパン Lenovo,90RW002PJP [ゲーミングデスクトップパソコン IdeaCentre Gaming 560/AMD Ryzen7 5700Gプロセッサー/NVIDIA GeForce RTX 3060/SSD 1TB/メモリ 16GB/Windows 10 Home 64bit/ブラック],"￥199,980"
ASUS エイスース,PB60G-B5348ZD [デスクトップパソコン ASUS MiniPC PB60G Core i5-9400T/メモリ 8GB/SSD 256GB/HDD 1TB/Windows 10 Home 64ビット],"￥146,500"
ASUS エイスース,D500SC-I511400 [デスクトップパソコン ASUS ExpertCenter D5 SFF D500SC Intel Core i5-11400/チップセットIntel B560/メモリ 16GB/HDD 1TB、SSD 512GB/DVDスーパーマルチドライブ/Windows 10 Home 64ビット/WPS Office Standard Edition（3製品共通ライセンス）/ブラック],"￥119,800"
マウスコンピューター mouse computer,PCMI101P21C-B [スリムケースデスクトップパソコン/Corei3-10100/メモリ 8GB/SSD 512GB （NVMe）/DVDスーパーマルチドライブ/Windows10 Pro 64bit/Microsoft Office Home ＆ Business 2019],"￥129,800"
ASUS エイスース,G15DK-R75G1660TE [ROG Strix GA15 G15DK AMD Ryzen 7 5800X プロセッサー/NVIDIA GeForce GTX 1660 Ti/メモリ 16GB/SSD 512GB/Windows 10 Home 64ビット/ブラック],"￥198,000"
ガレリア,UA7R-R37-R212 [GALLERIA ゲーミングデスクトップPC Ryzen 7 3700X/メモリ 16GB/SSD 1TB/Windows 10 Home 64ビット],"￥269,800"
ASUS エイスース,CHROMEBOX4-GC018UN [Chromebox デスクトップPC Celeron 5205U/メモリ 4GB/eMMC 64GB /Wi-Fi 6/Vesa Mount/Chrome OS],"￥38,540"
レノボ･ジャパン Lenovo,90RW002QJP [ゲーミングデスクトップパソコン IdeaCentre Gaming 560/AMD Ryzen5 5600Gプロセッサー/NVIDIA GeForce GTX 1660 SUPER/SSD 512GB/メモリ 8GB/Windows 10 Home 64bit/Microsoft Office Home ＆ Business 2019/ブラック],"￥153,780"
マウスコンピューター mouse computer,PCMIDV107G165P21C [クリエイター向けデスクトップパソコン/Corei7 10700/16GB/SSD 512GB (NVMe)/HDD 2TB/GeForce GTX 1650/DVDスーパーマルチドライブ/Windows10 Pro 64bit/Office Home & Business 2019],"￥229,800"
マウスコンピューター mouse computer,PCMIDV109KP22P21C [クリエイター向けデスクトップパソコン/Core i9-10900K/32GB/SSD 512GB (NVMe)/HDD 4TB/Quadro P2200/DVDスーパーマルチドライブ/Windows10 Pro 64bit (DSP) /Office Home & Business 2019],"￥309,800"
ミニズフォーラム MINISFORUM,N40-4/64-W10Pro（N4020） [小型デスクトップパソコン/CPU：Intel Celeron Processor N4020/メモリ：4GB/ストレージ：eMMC 64GB/Windows 10 Pro 64bit],"￥21,780"
ASUS エイスース,PB40-BC132ZD [Mini PC PB40シリーズ Celeron N4000/DDR4メモリ 4GB/HDD 1TB/ドライブレス/Windows 10 Home ブラック],"￥39,580"
Acer エイサー,TC-1660-A56Y/165 [Aspire TC-1660 Core i5-11400F/メモリ 16GB/SSD 512GB/ドライブ無し/NVIDIA GeForce GTX 1650/Windows 10 Home（64bit）/ブラック],"￥139,800"
レノボ･ジャパン Lenovo,90N90079JP [ゲーミングデスクトップパソコン IdeaCentre Gaming 550i/Core i7-10700/NVIDIA GeForce RTX 2060/メモリー16GB(8GB×2)/SSD1TB (PCIe NVMe/M.2)/Windows 10 Home 64bit (日本語版)/NonOffice/レイヴンブラック],"￥175,780"
HP,1V7J0AA-AAAA [HP 27-dp0000 All-in-One G1モデル Core i5/メモリ8GB/SSD512GB＋HDD2TB],"￥143,000"
Acer エイサー,TC-1660-A76Z/166S [ゲーミングデスクトップ Core i7-11700F/メモリ 16GB/SSD 1TB/ドライブ無し/GTX1660 SUPER/Windows 10 Home（64bit）/ブラック],"￥199,800"
ASUS エイスース,PB40-BC131ZD [Mini PC PB40シリーズ Celeron N4000/DDR4メモリ 4GB/HDD 500GB/ドライブレス/Windows 10 Pro ブラック],"￥47,860"
ミニズフォーラム MINISFORUM,GK50-8/128-W10Pro（N5030） [小型デスクトップパソコン/CPU：Intel Pentium Silver Processor N5030/メモリ：8GB/ストレージ：M.2 SSD 128GB/Windows 10 Pro 64bit],"￥38,470"
マウスコンピューター mouse computer,PCMI104G306H21J [ゲーミングデスクトップパソコン/Corei5-10400/16GB/SSD 512GB （NVMe）/HDD 2TB/GeForce RTX 3060/DVDスーパーマルチドライブ/Windows10 Home 64bit],"￥219,800"
